AREACD,AREANM,Cases
kml_1,"Angklong Ln (Faber Gdn Condo) / Island Gdns Walk / Sin Ming Ave (Flame Tree Pk) / Sin Ming Walk (Bishan Pk Condo, The Gdns at Bishan) / The Inglewood",61
kml_2,"Buangkok Green, View",13
kml_3,Science Pk Dr,22
kml_4,"Bishan St 22 (Blk 234) / Bishan St 23 (Blk 225, 229, 231) / Bishan St 24 (Blk 291) / Bishan St 25 (Clover By The Park)",8
kml_5,"Cardiff Gr (Cardiff Residence) / Golden Dr, Walk / Jln Pacheli / Li Hwan Cl, Dr, View / Tai Hwan Ter",22
kml_6,"Lentor Loop (Bullion Pk) / Lentor Lk, St, Ter",17
kml_7,Kreta Ayer Rd (Blk 334) / Sago Ln (Blk 4) / Smith St (Blk 335B),4
kml_8,"Tampines St 22 (Blk 295, 296, 297)",5
kml_9,Cactus Dr (Grande Vista),2
kml_10,"Ang Mo Kio Ave 1 (Blk 207, 217)",2
kml_11,Jln Tenteram (Blk 16),2
kml_12,"Lor 1 Toa Payoh (Blk 148, 149, 150, 153A, 155, 156, 157) / Lor 1 Toa Payoh (Oleander Twrs) / Lor 2 Toa Payoh (Blk 141, 142, 145, 146, 147, 152, 153, 154)",319
kml_13,"Pasir Ris Dr 10 (Blk 645, 647)",2
kml_14,Seletar North Lk,6
kml_15,Tuas South St 12,2
kml_16,"Eng Kong Rd, Ter / Lor Kismis / Toh Tuck Rd / Toh Tuck Rd (Daintree Residence, Nottinghill Suites, The Creek @ Bt) / Toh Tuck Ter / Toh Yi Rd",42
kml_17,Toh Tuck Rd / Toh Tuck Rd (Signature Pk),2
kml_18,Tai Hwan Cres,2
kml_19,"Lor 1 Toa Payoh (Blk 158, 159, 160, 161, 163, 168, 169, 170, 171, 173, 174) / Lor 1 Toa Payoh (Trellis Twrs) / Thomson Ln (Sky@Eleven)",67
kml_20,"Lor 1 Toa Payoh (Blk 98) / Lor 2 Toa Payoh (Blk 99B, 99C, 101A, 101B) / Lor 3 Toa Payoh (Blk 91, 96, 97) / Lor 3 Toa Payoh (Trevista) / Lor 4 Toa Payoh (Blk 94)",34
kml_21,"Bt Batok West Ave 6 (Blk 450C, 451A)",3
kml_22,"Bt Batok East Ave 4 (Blk 271, 272)",3
kml_23,"Bedok North Ave 2 (Blk 514, 518)",2
kml_24,"Rivervale Cres (Blk 151, 185D)",2
kml_25,Upp S'goon View (The Kingsford Waterbay),2
kml_26,"Lor 1 Toa Payoh (Blk 128) / Lor 1A Toa Payoh (Blk 138A, 138B, 138C, 139A, 139B) / Lor 2 Toa Payoh (Blk 143, 144)",175
kml_27,"Choa Chu Kang Ave 3 (Mi Casa, The Rainforest)",2
kml_28,Keng Lee Rd (Rochelle At Newton) / Newton Rd (Amaryllis Ville),2
kml_29,"Bt Batok West Ave 6 (Blk 185, 186, 193)",5
kml_30,"Redhill Rd (Blk 71, 73A, 75B)",3
kml_31,Old Choa Chu Kang Rd,2
kml_32,Lor Ong Lye / S'goon Ave 1 (Blk 425) / S'goon Ter,3
kml_33,Bt Batok St 52 (Blk 539) / Bt Batok St 52 (Guilin View),2
kml_34,"Holland Dr (Blk 18A, 18B)",2
kml_35,"Lor 1 Toa Payoh (Blk 117, 118, 119, 123) / Lor 2 Toa Payoh (Blk 116, 120, 121, 122)",60
kml_36,Akyab Rd (Pavilion 11) / Mandalay Rd (The Ansley) / Prome Rd,3
kml_37,Lor 2 Toa Payoh (Blk 84) / Lor 4 Toa Payoh (Blk 80),3
kml_38,"Lor 1 Toa Payoh (Blk 107, 111, 113, 114) / Toa Payoh North (Blk 206, 207)",10
kml_39,"Bendemeer Rd / Bendemeer Rd (Blk 32) / Mcnair Rd (Blk 113A, 113C) / Towner Rd (Blk 105) / Whampoa West (Blk 34)",6
kml_40,"S'goon Ctrl Dr (Blk 256, 258)",4
kml_41,"Ang Mo Kio Ave 2 / Thomson Green, Walk",6
kml_42,Chancery Ln / Gentle Rd / Gilstead Rd,5